the_geom,name,description,created_at,updated_at,cartodb_georef_status,country,cartodb_id
0101000020E61000000E9C33A2B41721C006F6984869704540,Santiago,,2015-01-14 17:57:50+00,2015-01-14 23:13:17+00,true,Spain,4
0101000020E61000003AAFB14B548F03C0AC8F87BEBB3B4540,Logroño,,2015-01-15 13:16:55+00,2015-01-15 13:18:02+00,true,Spain,21
0101000020E61000009E245D33F96607C0842A357BA0A14540,Bilbao,,2015-01-14 17:58:58+00,2015-01-14 18:04:01+00,true,Spain,10
0101000020E6100000D920938C9C4501408481E7DEC3B14440,Barcelona,,2015-01-14 18:00:09+00,2015-01-14 18:04:01+00,true,Spain,17
0101000020E6100000310395F1EFB3FDBF01309E41437F4340,Albacete,,2015-01-14 18:00:09+00,2015-01-14 18:04:01+00,true,Spain,16
0101000020E6100000A2D11DC4CE741FC0F2716DA8182B4540,Ourense,,2015-01-14 17:58:01+00,2015-01-14 18:04:01+00,true,Spain,5
0101000020E610000000C11C3D7E6F0EC008E6E8F17BBB4540,Santander,,2015-01-14 17:58:50+00,2015-01-14 18:04:01+00,true,Spain,9
0101000020E61000001990BDDEFD7121C067EDB60BCD1D4540,Vigo,,2015-01-14 17:56:57+00,2015-01-14 18:04:01+00,true,Spain,3
0101000020E61000008599B67F65A516C038BEF6CC92C44540,Gijón,,2015-01-14 17:58:41+00,2015-01-14 18:04:01+00,true,Spain,8
0101000020E6100000DE1FEF552B13ECBF5C1B2AC6F9D34440,Zaragoza,,2015-01-14 17:59:42+00,2015-01-14 18:04:01+00,true,Spain,13
0101000020E610000037E0F3C3086117C0B58993FB1DAE4540,Oviedo,,2015-01-14 17:58:32+00,2015-01-14 18:04:01+00,true,Spain,7
0101000020E610000030D80DDB16E512C0247F30F0DCD34440,Valladolid,,2015-01-14 18:02:38+00,2015-01-14 18:04:01+00,true,Spain,19
0101000020E6100000B4E55C8AAB4AFABFB18A37328F684540,Pamplona,,2015-01-14 17:59:22+00,2015-01-14 18:04:01+00,true,Spain,12
0101000020E6100000986E1283C0CA20C04EAF946588AF4540,A Coruña,,2015-01-14 17:58:10+00,2015-01-14 18:04:01+00,true,Spain,6
0101000020E6100000499D8026C2C621C0DE02098A1F434340,Setúbal,,2015-01-14 18:02:57+00,2015-01-14 18:04:01+00,true,Portugal,20
0101000020E610000065C22FF5F3660DC0DB334B02D42C4540,Burgos,,2015-01-14 18:02:36+00,2015-01-14 18:04:01+00,true,Spain,18
0101000020E610000073D2FBC6D79E0DC05A643BDF4F354440,Madrid,,2015-01-14 17:59:54+00,2015-01-14 18:04:01+00,true,Spain,14
0101000020E61000009E98F5622827D8BFE3A59BC420BC4340,Valencia,,2015-01-14 17:59:54+00,2015-01-14 18:04:01+00,true,Spain,15
0101000020E610000028D53E1D8F99FFBF959A3DD00AA84540,Donostia,,2015-01-14 17:59:14+00,2015-01-14 18:04:01+00,true,Spain,11
