site,no2,pm10,pm2.5,lat,lon
Aberdeen,21.323003102859012,12.679400593881704,7.534313928596076,57.14369,-2.09814
Belfast Centre,29.134034953318878,15.673753750023241,10.273508048161117,54.59633,-5.93004
Birmingham Tyburn,31.48657475215013,18.13619948210516,12.977896975862475,52.51944,-1.80127
Bristol,27.290171211254915,17.094890564785178,12.165736101635456,51.45523,-2.59665
Bury,64.73535504184275,23.568149805286268,18.968762946391585,53.6,-2.3
Cardiff Centre,24.61849924431489,17.7523604975469,11.066148897620193,51.45059,-3.18679
Carlisle ,25.49786339379622,16.736709756736833,10.123403269040779,54.8951,-2.9382
Chatham ,26.352328696235862,21.62409499787536,14.287533986307105,51.37891,0.52786
Chepstow,37.051525482355096,18.499128062182663,12.275289913338652,51.64087,-2.67683
Chesterfield,18.54791396465788,17.374595982479953,12.263998388964367,53.25,-1.41667
Chesterfield ,19.72856643078968,17.637415820510157,10.976766460797776,53.25,-1.41667
Chilbolton,11.722124888025064,13.396905340341835,8.478259110384666,51.13984,-1.41812
Derry,15.259961656977833,16.589939178063744,12.937558385698498,54.9981,-7.30934
Eastbourne,12.553868000058992,20.447116803399588,13.682229770406757,50.76871,0.28453
Edinburgh,21.430833999873347,12.859789618004974,8.452806429158997,55.95206,-3.19648
Glasgow,33.36308871851041,16.397981536535752,9.827335315287122,55.86515,-4.25763
Grangemouth,15.519877598102456,11.976926113260774,8.422022215610447,56.01141,-3.72183
Greenock ,30.253851757670695,10.931321039449044,5.648390795241089,55.94838,-4.76121
Haringey ,43.38196290500245,24.734310257705946,17.957215765538162,51.58333,-0.08333
Harwell,9.437630716391226,16.14516059694151,10.983387582140896,51.59947,-1.29175
Inverness,18.91794268324951,8.366699655993633,4.8848364646731985,57.47908,-4.22398
Leamington,20.91466712364579,16.192854939111665,12.155859240304055,52.2852,-1.52
Leeds,34.19329484906219,17.07693870425039,12.466237199632024,53.79648,-1.54785
Leicester,27.247595708848696,16.127776720583565,13.6799936568348,52.6386,-1.13169
Liverpool,22.220534544034336,14.043256029040933,10.216275252525113,53.41058,-2.97794
London Bloomsbury,46.009975736399994,18.847490123808576,13.22516316239182,51.52228,-0.12252
London Harlington,33.81843003695505,17.157793456281873,11.579014363408373,51.48566,-0.43362
London Marylebone,89.11290327653259,27.74403044111123,18.31950360736701,51.52541,-0.16806
London N. Kensington,34.949001950918934,19.823274643233162,13.126243404954677,51.49215,-0.1877
Middlesbrough,16.41551449264365,16.106813195151247,10.162600166558708,54.57623,-1.23483
Narberth,3.145721140404661,10.631732474964258,6.372652973635803,51.79784,-4.74275
Newcastle,30.12341296522894,13.776131817575695,9.598542739031766,54.97328,-1.61396
Newport,21.854743933758225,15.715251547970285,11.401430639677622,51.58774,-2.99835
Norwich,13.69329842954124,15.676369477276044,12.406409174053755,52.62783,1.29834
Nottingham,32.99103503935115,19.583419667093718,11.8934818608623,52.9536,-1.15047
Oxford,16.265446497851055,15.279960261754024,11.356549251668422,51.75222,-1.25596
Plymouth,21.602647054175588,17.513254929216902,10.875695943227308,50.37153,-4.14305
Port Talbot Margam,17.350177739877726,24.061038793421325,11.306167490227823,51.5731,-3.75735
Portsmouth,20.060525708550685,17.50421069632242,12.212825896359188,50.79899,-1.09125
NewTown,26.52469126724645,14.798124107931766,10.175392510025082,52.51667,-3.3
Rochester,14.89173510458168,16.326798221844527,12.179255778120195,51.38764,0.50546
Salford,28.621843895451573,17.435397012903334,12.818131858509574,53.48771,-2.29042
Sandy ,32.681311553512906,18.219241520184852,12.743277965919528,52.12927,-0.28925
Sheffield,35.03794654420188,23.09893481311386,17.627018752391837,53.38297,-1.4659
Southampton,31.590306005795373,19.116533109147237,13.229803598898153,50.90395,-1.40428
Stanford-le-Hope ,29.249173029764943,20.586758650666013,13.49232731739583,51.52274,0.43422
Stockton-on-Tees,15.698383290438473,16.177228118029088,10.480184843476788,54.56848,-1.3187
Stoke-on-Trent,30.174905330404897,20.020131128479843,14.578312124539814,53.00415,-2.18538
Storrington ,23.78809680814719,19.666590501544572,14.499005449933437,50.91765,-0.45473
Swansea ,28.686857203357693,19.18163148058573,12.70319778404418,51.62079,-3.94323
Warrington,22.045634190218077,16.007421714227107,11.532024283166551,53.39254,-2.58024
