site,no2,pm10,pm2.5,lat,lon,population
Aberdeen,21.32300310285901,12.679400593881704,7.534313928596076,57.14369,-2.0981400000000003,137962
Belfast Centre,29.134034953318878,15.673753750023241,10.273508048161117,54.59633,-5.93004,618108
Birmingham Tyburn,31.48657475215013,18.13619948210516,12.977896975862475,52.51944,-1.8012700000000001,2916458
Bristol,27.290171211254915,17.094890564785178,12.165736101635456,51.45523,-2.59665,1006600
Bury,64.73535504184275,23.568149805286268,18.968762946391585,53.6,-2.3,2798000
Cardiff Centre,24.61849924431489,17.7523604975469,11.066148897620193,51.450590000000005,-3.1867900000000002,460800
Carlisle ,25.49786339379622,16.736709756736833,10.123403269040779,54.8951,-2.9382,498000
Chatham ,26.352328696235862,21.62409499787536,14.287533986307105,51.37891,0.52786,1832000
Chepstow,37.051525482355096,18.499128062182663,12.275289913338652,51.64087,-2.67683,560500
Chesterfield,18.54791396465788,17.374595982479953,12.263998388964367,53.25,-1.41667,796142
Chesterfield ,19.72856643078968,17.637415820510157,10.976766460797775,53.25,-1.41667,560500
Chilbolton,11.722124888025064,13.396905340341835,8.478259110384666,51.13984,-1.41812,1844245
Derry,15.259961656977833,16.589939178063744,12.937558385698498,54.9981,-7.30934,247132
Eastbourne,12.553868000058992,20.447116803399588,13.682229770406757,50.76871,0.28453,844985
Edinburgh,21.430833999873347,12.859789618004974,8.452806429158997,55.952059999999996,-3.1964799999999998,512150
Glasgow,33.36308871851041,16.397981536535752,9.827335315287122,55.86515,-4.257630000000001,1655810
Grangemouth,15.519877598102456,11.976926113260774,8.422022215610447,56.01141,-3.72183,160340
Greenock ,30.253851757670695,10.931321039449044,5.648390795241089,55.94838000000001,-4.76121,60000
Haringey ,43.38196290500245,24.734310257705946,17.957215765538162,51.58333,-0.08333,268647
Harwell,9.437630716391226,16.14516059694151,10.983387582140896,51.599470000000004,-1.29175,136007
Inverness,18.91794268324951,8.366699655993633,4.884836464673199,57.47908,-4.22398,67733
Leamington,20.91466712364579,16.192854939111665,12.155859240304055,52.2852,-1.52,143753
Leeds,34.19329484906219,17.07693870425039,12.466237199632024,53.79648,-1.54785,1901934
Leicester,27.247595708848696,16.127776720583565,13.6799936568348,52.6386,-1.1316899999999999,698268
Liverpool,22.220534544034336,14.043256029040933,10.216275252525113,53.41058,-2.9779400000000003,498042
London Bloomsbury,46.0099757364,18.847490123808576,13.22516316239182,51.52228,-0.12252,270029
London Harlington,33.81843003695505,17.157793456281873,11.579014363408373,51.485659999999996,-0.43362,306870
London Marylebone,89.11290327653259,27.74403044111123,18.31950360736701,51.52541,-0.16806,261317
London N. Kensington,34.949001950918934,19.823274643233162,13.126243404954677,51.49215,-0.1877,156129
Middlesbrough,16.41551449264365,16.106813195151247,10.162600166558708,54.57623,-1.2348299999999999,1158816
Narberth,3.145721140404661,10.631732474964258,6.372652973635803,51.79784,-4.74275,375200
Newcastle,30.12341296522894,13.776131817575695,9.598542739031766,54.97328,-1.61396,323136
Newport,21.854743933758225,15.715251547970285,11.401430639677622,51.587740000000004,-2.99835,11387
Norwich,13.69329842954124,15.676369477276044,12.406409174053755,52.62783,1.29834,903680
Nottingham,32.99103503935115,19.583419667093718,11.8934818608623,52.9536,-1.15047,823126
Oxford,16.265446497851055,15.279960261754026,11.356549251668422,51.75222,-1.25596,154600
Plymouth,21.602647054175588,17.513254929216902,10.875695943227308,50.37153,-4.14305,795286
Port Talbot Margam,17.350177739877726,24.061038793421325,11.306167490227823,51.5731,-3.75735,365500
Portsmouth,20.060525708550685,17.50421069632242,12.212825896359188,50.79899,-1.09125,1844245
NewTown,26.52469126724645,14.798124107931766,10.175392510025082,52.51667,-3.3,176582
Rochester,14.89173510458168,16.326798221844527,12.179255778120195,51.387640000000005,0.50546,1846478
Salford,28.62184389545157,17.435397012903334,12.818131858509574,53.48771,-2.29042,2812569
Sandy ,32.681311553512906,18.21924152018485,12.743277965919528,52.12927,-0.28925,288648
Sheffield,35.03794654420188,23.09893481311386,17.627018752391837,53.38296999999999,-1.4659,1402918
Southampton,31.59030600579537,19.116533109147237,13.229803598898153,50.90395,-1.40428,269781
Stanford-le-Hope ,29.249173029764943,20.586758650666013,13.49232731739583,51.52274,0.43422,1832752
Stockton-on-Tees,15.698383290438473,16.177228118029088,10.480184843476787,54.56848000000001,-1.3187,866846
Stoke-on-Trent,30.174905330404897,20.020131128479843,14.578312124539814,53.00415,-2.18538,1131052
Storrington ,23.78809680814719,19.666590501544565,14.499005449933437,50.91765,-0.45473,858852
Swansea ,28.686857203357693,19.18163148058573,12.70319778404418,51.62079,-3.9432300000000002,246466
Warrington,22.045634190218077,16.007421714227107,11.532024283166551,53.392540000000004,-2.5802400000000003,210014
